"App name","Date","Time","Duration"
"App Usage","11/08/23","5:29:39 pm","0:00:01"
"WhatsApp","11/08/23","5:28:41 pm","0:00:57"
"WhatsApp","11/08/23","5:28:26 pm","0:00:10"
"App Usage","11/08/23","5:26:06 pm","0:02:19"
"Activity history enabled","11/08/23","5:26:06 pm","0:00:00"
"App Usage","11/08/23","5:25:05 pm","0:00:00"
"App Usage","11/08/23","5:24:58 pm","0:00:04"
"Permission controller","11/08/23","5:24:57 pm","0:00:01"
"App Usage","11/08/23","5:24:55 pm","0:00:01"
"App Usage","11/08/23","5:24:40 pm","0:00:07"
"Google Play Store","11/08/23","5:23:44 pm","0:00:56"
"Swiggy","11/08/23","5:23:19 pm","0:00:01"
"Screen on (unlocked)","11/08/23","5:23:18 pm","0:00:01"
"Screen off (locked)","11/08/23","5:12:02 pm","0:11:16"
"Swiggy","11/08/23","5:11:59 pm","0:00:03"
"Screen on (unlocked)","11/08/23","5:11:58 pm","0:00:01"
"Screen off (locked)","11/08/23","5:11:35 pm","0:00:23"
"Swiggy","11/08/23","5:11:01 pm","0:00:34"
"Truecaller","11/08/23","5:10:53 pm","0:00:05"
"Screen on (unlocked)","11/08/23","5:10:52 pm","0:00:01"
"Screen off (locked)","11/08/23","5:01:45 pm","0:09:08"
"Truecaller","11/08/23","5:01:44 pm","0:00:00"
"Screen on (unlocked)","11/08/23","5:01:44 pm","0:00:01"
"Screen off (locked)","11/08/23","5:01:41 pm","0:00:03"
"Phone","11/08/23","5:01:36 pm","0:00:05"
"Screen on (unlocked)","11/08/23","5:01:35 pm","0:00:01"
"Screen off (locked)","11/08/23","4:59:41 pm","0:01:54"
"ICICIdirect Markets","11/08/23","4:59:35 pm","0:00:02"
"Screen on (unlocked)","11/08/23","4:59:34 pm","0:00:01"
"Screen off (locked)","11/08/23","4:50:37 pm","0:08:57"
"ICICIdirect Markets","11/08/23","4:49:29 pm","0:01:08"
"Instagram","11/08/23","4:30:12 pm","0:19:12"
"Screen on (unlocked)","11/08/23","4:30:08 pm","0:00:01"
"Screen off (locked)","11/08/23","4:23:21 pm","0:06:47"
"WhatsApp","11/08/23","4:23:03 pm","0:00:17"
"Screen on (unlocked)","11/08/23","4:23:02 pm","0:00:01"
"Screen off (locked)","11/08/23","4:22:34 pm","0:00:28"
"WhatsApp","11/08/23","4:16:20 pm","0:06:12"
"Instagram","11/08/23","4:16:16 pm","0:00:03"
"Screen on (unlocked)","11/08/23","4:16:15 pm","0:00:01"
"Screen off (locked)","11/08/23","3:27:11 pm","0:49:04"
"Instagram","11/08/23","3:15:54 pm","0:11:17"
"Screen on (unlocked)","11/08/23","3:15:52 pm","0:00:01"
"Screen off (locked)","11/08/23","3:15:06 pm","0:00:46"
"Instagram","11/08/23","3:07:35 pm","0:07:28"
"WhatsApp","11/08/23","3:07:13 pm","0:00:18"
"Gmail","11/08/23","3:07:03 pm","0:00:08"
"YouTube","11/08/23","3:06:44 pm","0:00:02"
"Screen on (unlocked)","11/08/23","3:06:44 pm","0:00:01"
"Screen off (locked)","11/08/23","3:06:41 pm","0:00:02"
"YouTube","11/08/23","3:06:41 pm","0:00:01"
"Screen on (unlocked)","11/08/23","3:06:40 pm","0:00:01"
